instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,order,seed
rd53_130,10,1208,629,165,5,10,0.5,2;6;4;5;3;1;0,4
rd53_130,10,1188,627,145,5,10,0.5,2;6;4;5;3;1;0,8
rd53_130,10,1215,634,172,5,10,0.5,2;6;4;5;3;1;0,10
rd53_130,10,1187,628,144,5,10,0.5,2;6;4;5;3;1;0,9
rd53_130,10,1209,631,166,5,10,0.5,2;6;4;5;3;1;0,7
rd53_130,10,1243,630,200,5,10,0.5,6;4;3;5;2;0;1,1
rd53_130,10,1178,627,135,5,10,0.5,6;4;3;5;2;0;1,2
rd53_130,10,1179,628,136,5,10,0.5,6;4;3;5;2;0;1,4
rd53_130,10,1190,630,147,5,10,0.5,6;4;3;5;2;0;1,3
rd53_130,10,1180,627,137,5,10,0.5,6;4;3;5;2;0;1,5
rd53_130,10,1242,631,199,5,10,0.5,6;4;3;5;2;0;1,7
rd53_130,10,1209,632,166,5,10,0.5,6;4;3;5;2;0;1,6
rd53_130,10,1186,622,143,5,10,0.5,6;4;3;5;2;0;1,9
rd53_130,10,1181,628,138,5,10,0.5,6;4;3;5;2;0;1,10
rd53_130,10,1193,632,150,5,10,0.5,6;4;3;5;2;0;1,8
rd53_130,10,1230,630,187,5,10,0.5,6;0;5;1;4;3;2,2
rd53_130,10,1169,626,126,5,10,0.5,6;0;5;1;4;3;2,1
rd53_130,10,1214,636,171,5,10,0.5,6;0;5;1;4;3;2,5
rd53_130,10,1205,619,162,5,10,0.5,6;0;5;1;4;3;2,7
rd53_130,10,1237,638,194,5,10,0.5,6;0;5;1;4;3;2,3
rd53_130,10,1226,626,183,5,10,0.5,6;0;5;1;4;3;2,6
rd53_130,10,1167,626,124,5,10,0.5,6;0;5;1;4;3;2,10
rd53_130,10,1220,632,177,5,10,0.5,6;0;5;1;4;3;2,8
rd53_130,10,1213,633,170,5,10,0.5,6;0;5;1;4;3;2,9
rd53_130,10,1199,627,156,5,10,0.5,6;0;5;1;4;3;2,4
rd53_130,10,1170,636,127,5,10,0.5,2;6;4;3;1;5;0,3
rd53_130,10,1232,636,189,5,10,0.5,2;6;4;3;1;5;0,1
rd53_130,10,1207,636,164,5,10,0.5,2;6;4;3;1;5;0,2
rd53_130,10,1191,639,148,5,10,0.5,2;6;4;3;1;5;0,7
rd53_130,10,1188,630,145,5,10,0.5,2;6;4;3;1;5;0,5
rd53_130,10,1216,637,173,5,10,0.5,2;6;4;3;1;5;0,6
rd53_130,10,1233,636,190,5,10,0.5,2;6;4;3;1;5;0,4
rd53_130,10,1242,639,199,5,10,0.5,2;6;4;3;1;5;0,8
rd53_130,10,1187,635,144,5,10,0.5,2;6;4;3;1;5;0,9
rd53_130,10,1235,637,192,5,10,0.5,2;6;4;3;1;5;0,10
rd53_130,10,1231,629,188,5,10,0.5,0;4;3;1;5;2;6,1
rd53_130,10,1202,627,159,5,10,0.5,0;4;3;1;5;2;6,3
